,judge,solver,solver_id,problem,competition,true_grade,split,cost,confidence,incorrect,resolved
0,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,allrussian_2025_12,allrussian,incorrect,generic,0.0,,True,True
1,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,allrussian_2025_6,allrussian,detected,generic,0.0,,False,True
2,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,allrussian_2025_7,allrussian,detected,generic,0.0,,False,True
3,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,allrussian_2025_9,allrussian,correct,generic,0.0,,False,True
4,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_A_2025_3,bmosl,corrected,generic,0.0,,False,True
5,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_A_2025_4,bmosl,detected,generic,0.0,,False,True
6,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_C_2025_3,bmosl,incorrect,generic,0.0,,True,True
7,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_G_2025_2,bmosl,incorrect,generic,0.0,,True,True
8,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_G_2025_4,bmosl,incorrect,generic,0.0,,True,True
9,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_G_2025_5,bmosl,corrected,generic,0.0,,False,True
10,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_NT_2025_2,bmosl,correct,generic,0.0,,False,True
11,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_NT_2025_6,bmosl,correct,generic,0.0,,False,True
12,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmo_2025_1,bmo,incorrect,generic,0.0,,True,True
13,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bulgaria_2025_2,bulgaria,correct,generic,0.0,,False,True
14,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bulgaria_2025_4,bulgaria,incorrect,generic,0.0,,True,True
15,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bulgaria_2025_6,bulgaria,detected,generic,0.0,,False,True
16,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,canada_2025_1,canada,corrected,generic,0.0,,False,True
17,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,chinatst_2025_10,chinatst,incorrect,generic,0.0,,True,True
18,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,chinatst_2025_18,chinatst,detected,generic,0.0,,False,True
19,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,chinatst_2025_5,chinatst,incorrect,generic,0.0,,True,True
20,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,chinatst_2025_7,chinatst,incorrect,generic,0.0,,True,True
21,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,chinatst_2025_9,chinatst,detected,generic,0.0,,False,True
22,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,china_2025_1,china,,generic,0.0,,False,False
23,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,egmo_2025_4,egmo,incorrect,generic,0.0,,True,True
24,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_C_2025_2,elmosl,incorrect,generic,0.0,,True,True
25,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_C_2025_5,elmosl,incorrect,generic,0.0,,True,True
26,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_2,elmosl,incorrect,generic,0.0,,True,True
27,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_3,elmosl,incorrect,generic,0.0,,True,True
28,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_5,elmosl,incorrect,generic,0.0,,True,True
29,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_6,elmosl,incorrect,generic,0.0,,True,True
30,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_7,elmosl,detected,generic,0.0,,False,True
31,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_9,elmosl,incorrect,generic,0.0,,True,True
32,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_NT_2025_2,elmosl,correct,generic,0.0,,False,True
33,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_NT_2025_3,elmosl,detected,generic,0.0,,False,True
34,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_NT_2025_5,elmosl,incorrect,generic,0.0,,True,True
35,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,german_2025_4,german,incorrect,generic,0.0,,True,True
36,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_14,imosl,detected,generic,0.0,,False,True
37,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_15,imosl,incorrect,generic,0.0,,True,True
38,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_16,imosl,incorrect,generic,0.0,,True,True
39,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_17,imosl,detected,generic,0.0,,False,True
40,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_19,imosl,incorrect,generic,0.0,,True,True
41,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_20,imosl,incorrect,generic,0.0,,True,True
42,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_26,imosl,correct,generic,0.0,,False,True
43,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_28,imosl,incorrect,generic,0.0,,True,True
44,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_4,imosl,incorrect,generic,0.0,,True,True
45,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_9,imosl,correct,generic,0.0,,False,True
46,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_2025_6,india,incorrect,generic,0.0,,True,True
47,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_10,india,incorrect,generic,0.0,,True,True
48,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_12,india,incorrect,generic,0.0,,True,True
49,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_17,india,incorrect,generic,0.0,,True,True
50,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_19,india,incorrect,generic,0.0,,True,True
51,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_20,india,incorrect,generic,0.0,,True,True
52,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_21,india,incorrect,generic,0.0,,True,True
53,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_5,india,detected,generic,0.0,,False,True
54,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_9,india,corrected,generic,0.0,,False,True
55,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,iran_tst_2025_1,iran,incorrect,generic,0.0,,True,True
56,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,iran_tst_2025_9,iran,incorrect,generic,0.0,,True,True
57,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,israel_tst_2025_2,israel,incorrect,generic,0.0,,True,True
58,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,izho_2025_2,izho,incorrect,generic,0.0,,True,True
59,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,izho_2025_4,izho,incorrect,generic,0.0,,True,True
60,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_1,matharena,correct,matharena,0.0,,False,True
61,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_12,matharena,corrected,matharena,0.0,,False,True
62,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_15,matharena,incorrect,matharena,0.0,,True,True
63,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_16,matharena,correct,matharena,0.0,,False,True
64,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_6,matharena,correct,matharena,0.0,,False,True
