,judge,solver,solver_id,problem,competition,true_grade,split,cost,confidence,incorrect,resolved
0,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,allrussian_2025_12,allrussian,detected,generic,0.0,,False,True
1,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,allrussian_2025_6,allrussian,incorrect,generic,0.0,,True,True
2,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,allrussian_2025_7,allrussian,detected,generic,0.0,,False,True
3,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,allrussian_2025_9,allrussian,detected,generic,0.0,,False,True
4,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_A_2025_3,bmosl,corrected,generic,0.0,,False,True
5,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_A_2025_4,bmosl,detected,generic,0.0,,False,True
6,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_C_2025_3,bmosl,detected,generic,0.0,,False,True
7,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_G_2025_2,bmosl,incorrect,generic,0.0,,True,True
8,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_G_2025_4,bmosl,incorrect,generic,0.0,,True,True
9,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_G_2025_5,bmosl,corrected,generic,0.0,,False,True
10,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_NT_2025_2,bmosl,correct,generic,0.0,,False,True
11,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmosl_NT_2025_6,bmosl,correct,generic,0.0,,False,True
12,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bmo_2025_1,bmo,incorrect,generic,0.0,,True,True
13,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bulgaria_2025_2,bulgaria,detected,generic,0.0,,False,True
14,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bulgaria_2025_4,bulgaria,corrected,generic,0.0,,False,True
15,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,bulgaria_2025_6,bulgaria,detected,generic,0.0,,False,True
16,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,canada_2025_1,canada,detected,generic,0.0,,False,True
17,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,chinatst_2025_10,chinatst,,generic,0.0,,False,False
18,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,chinatst_2025_18,chinatst,detected,generic,0.0,,False,True
19,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,chinatst_2025_5,chinatst,incorrect,generic,0.0,,True,True
20,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,chinatst_2025_7,chinatst,detected,generic,0.0,,False,True
21,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,chinatst_2025_9,chinatst,detected,generic,0.0,,False,True
22,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,china_2025_1,china,detected,generic,0.0,,False,True
23,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,egmo_2025_4,egmo,incorrect,generic,0.0,,True,True
24,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_C_2025_2,elmosl,detected,generic,0.0,,False,True
25,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_C_2025_5,elmosl,incorrect,generic,0.0,,True,True
26,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_2,elmosl,detected,generic,0.0,,False,True
27,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_3,elmosl,detected,generic,0.0,,False,True
28,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_5,elmosl,incorrect,generic,0.0,,True,True
29,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_6,elmosl,corrected,generic,0.0,,False,True
30,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_7,elmosl,incorrect,generic,0.0,,True,True
31,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_G_2025_9,elmosl,incorrect,generic,0.0,,True,True
32,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_NT_2025_2,elmosl,correct,generic,0.0,,False,True
33,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_NT_2025_3,elmosl,correct,generic,0.0,,False,True
34,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,elmosl_NT_2025_5,elmosl,detected,generic,0.0,,False,True
35,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,german_2025_4,german,,generic,0.0,,False,False
36,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_14,imosl,detected,generic,0.0,,False,True
37,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_15,imosl,detected,generic,0.0,,False,True
38,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_16,imosl,incorrect,generic,0.0,,True,True
39,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_17,imosl,detected,generic,0.0,,False,True
40,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_19,imosl,incorrect,generic,0.0,,True,True
41,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_20,imosl,incorrect,generic,0.0,,True,True
42,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_26,imosl,correct,generic,0.0,,False,True
43,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_28,imosl,detected,generic,0.0,,False,True
44,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_4,imosl,incorrect,generic,0.0,,True,True
45,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,imosl_2025_9,imosl,detected,generic,0.0,,False,True
46,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_2025_6,india,incorrect,generic,0.0,,True,True
47,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_10,india,correct,generic,0.0,,False,True
48,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_12,india,correct,generic,0.0,,False,True
49,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_17,india,incorrect,generic,0.0,,True,True
50,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_19,india,incorrect,generic,0.0,,True,True
51,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_20,india,detected,generic,0.0,,False,True
52,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_21,india,incorrect,generic,0.0,,True,True
53,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_5,india,detected,generic,0.0,,False,True
54,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,india_prep_2025_9,india,,generic,0.0,,False,False
55,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,iran_tst_2025_1,iran,detected,generic,0.0,,False,True
56,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,iran_tst_2025_9,iran,detected,generic,0.0,,False,True
57,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,israel_tst_2025_2,israel,incorrect,generic,0.0,,True,True
58,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,izho_2025_2,izho,detected,generic,0.0,,False,True
59,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,izho_2025_4,izho,detected,generic,0.0,,False,True
60,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_1,matharena,detected,matharena,0.0,,False,True
61,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_12,matharena,corrected,matharena,0.0,,False,True
62,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_15,matharena,detected,matharena,0.0,,False,True
63,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_16,matharena,correct,matharena,0.0,,False,True
64,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_6,matharena,correct,matharena,0.0,,False,True
65,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_aime_aime_2025_9,matharena,correct,matharena,0.0,,False,True
66,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_brumo_brumo_2025_22,matharena,correct,matharena,0.0,,False,True
67,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_brumo_brumo_2025_23,matharena,correct,matharena,0.0,,False,True
68,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_brumo_brumo_2025_28,matharena,incorrect,matharena,0.0,,True,True
69,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_brumo_brumo_2025_30,matharena,detected,matharena,0.0,,False,True
70,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_brumo_brumo_2025_6,matharena,correct,matharena,0.0,,False,True
71,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_brumo_brumo_2025_8,matharena,correct,matharena,0.0,,False,True
72,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_10,matharena,detected,matharena,0.0,,False,True
73,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_15,matharena,incorrect,matharena,0.0,,True,True
74,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_20,matharena,incorrect,matharena,0.0,,True,True
75,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_21,matharena,incorrect,matharena,0.0,,True,True
76,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_27,matharena,incorrect,matharena,0.0,,True,True
77,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_28,matharena,detected,matharena,0.0,,False,True
78,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_3,matharena,correct,matharena,0.0,,False,True
79,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_34,matharena,incorrect,matharena,0.0,,True,True
80,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_39,matharena,correct,matharena,0.0,,False,True
81,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_6,matharena,incorrect,matharena,0.0,,True,True
82,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_cmimc_cmimc_2025_8,matharena,incorrect,matharena,0.0,,True,True
83,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_hmmt_hmmt_feb_2025_11,matharena,correct,matharena,0.0,,False,True
84,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_hmmt_hmmt_feb_2025_12,matharena,correct,matharena,0.0,,False,True
85,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_hmmt_hmmt_feb_2025_16,matharena,correct,matharena,0.0,,False,True
86,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_hmmt_hmmt_feb_2025_18,matharena,detected,matharena,0.0,,False,True
87,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_hmmt_hmmt_feb_2025_2,matharena,correct,matharena,0.0,,False,True
88,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_hmmt_hmmt_feb_2025_22,matharena,correct,matharena,0.0,,False,True
89,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_hmmt_hmmt_feb_2025_25,matharena,incorrect,matharena,0.0,,True,True
90,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_hmmt_hmmt_feb_2025_28,matharena,corrected,matharena,0.0,,False,True
91,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,matharena_hmmt_hmmt_feb_2025_8,matharena,detected,matharena,0.0,,False,True
92,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,nordic_2025_1,nordic,correct,generic,0.0,,False,True
93,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,nordic_2025_2,nordic,correct,generic,0.0,,False,True
94,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,pan_african_2025_5,pan,correct,generic,0.0,,False,True
95,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,philippines_2025_1,philippines,incorrect,generic,0.0,,True,True
96,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,philippines_2025_4,philippines,detected,generic,0.0,,False,True
97,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,philippines_2025_6,philippines,correct,generic,0.0,,False,True
98,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,polish_2025_2,polish,detected,generic,0.0,,False,True
99,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,polish_2025_4,polish,detected,generic,0.0,,False,True
100,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,romania_10_2025_1,romania,detected,generic,0.0,,False,True
101,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,romania_10_2025_3,romania,incorrect,generic,0.0,,True,True
102,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,romania_tst_2025_2,romania,detected,generic,0.0,,False,True
103,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,spain_2025_2,spain,detected,generic,0.0,,False,True
104,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,thai_2025_10,thai,detected,generic,0.0,,False,True
105,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,thai_2025_2,thai,detected,generic,0.0,,False,True
106,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,thai_2025_3,thai,detected,generic,0.0,,False,True
107,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,thai_2025_5,thai,detected,generic,0.0,,False,True
108,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,thai_2025_8,thai,incorrect,generic,0.0,,True,True
109,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,turkey_tst_2025_2,turkey,incorrect,generic,0.0,,True,True
110,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,turkey_tst_2025_4,turkey,detected,generic,0.0,,False,True
111,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,usamo_2025_1,usamo,detected,generic,0.0,,False,True
112,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,usamo_2025_3,usamo,incorrect,generic,0.0,,True,True
113,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,usamo_2025_5,usamo,corrected,generic,0.0,,False,True
114,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,usamo_2025_6,usamo,detected,generic,0.0,,False,True
115,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,usatst_2025_3,usatst,detected,generic,0.0,,False,True
116,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,usatst_2025_6,usatst,detected,generic,0.0,,False,True
117,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,vietnam_2025_1,vietnam,corrected,generic,0.0,,False,True
118,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,vietnam_2025_3,vietnam,detected,generic,0.0,,False,True
119,GPT-5.6-luna,DeepSeek v4 Flash (OpenRouter Batch),,vietnam_2025_6,vietnam,detected,generic,0.0,,False,True
120,GPT-5.6-luna,Gemini 3.7 Flash (OpenRouter Batch),,allrussian_2025_12,allrussian,detected,generic,0.0175873125,,False,True
